iter	Passed	Remaining
437	1342	13982
438	1345	13974
439	1347	13964
440	1349	13954
441	1352	13944
442	1354	13936
443	1357	13927
444	1359	13917
445	1362	13910
446	1364	13900
447	1367	13892
448	1369	13884
449	1372	13873
450	1375	13870
451	1377	13861
452	1379	13851
453	1382	13844
454	1385	13835
455	1387	13825
456	1389	13816
457	1392	13806
458	1394	13797
459	1396	13787
460	1399	13776
461	1401	13768
462	1404	13760
463	1406	13749
464	1409	13742
465	1411	13732
466	1413	13723
467	1417	13723
468	1421	13735
469	1424	13730
470	1428	13734
471	1431	13729
472	1434	13725
473	1436	13717
474	1439	13710
475	1442	13707
476	1445	13705
477	1448	13707
478	1451	13702
479	1454	13697
480	1457	13691
481	1460	13688
482	1463	13687
483	1467	13689
484	1469	13681
485	1472	13675
486	1475	13672
487	1478	13668
488	1481	13663
489	1483	13655
490	1486	13648
491	1488	13641
492	1491	13636
493	1494	13632
494	1497	13628
495	1500	13625
496	1503	13621
497	1506	13615
498	1508	13607
499	1510	13598
500	1513	13591
501	1515	13583
502	1518	13573
503	1520	13563
504	1522	13553
505	1525	13546
506	1527	13537
507	1529	13526
508	1532	13520
509	1534	13510
510	1536	13500
511	1539	13495
512	1542	13493
513	1545	13490
514	1548	13484
515	1551	13478
516	1553	13470
517	1555	13462
518	1558	13454
519	1560	13446
520	1563	13443
521	1566	13436
522	1569	13432
523	1572	13432
524	1575	13428
525	1578	13428
526	1581	13424
527	1585	13427
528	1588	13423
529	1591	13424
530	1594	13415
531	1596	13410
532	1599	13404
533	1602	13398
534	1604	13392
535	1607	13384
536	1609	13377
537	1612	13370
538	1614	13362
539	1616	13354
540	1619	13347
541	1621	13338
542	1624	13332
543	1626	13323
544	1629	13320
545	1632	13314
546	1634	13306
547	1637	13300
548	1639	13292
549	1642	13285
550	1644	13279
551	1647	13272
552	1649	13267
553	1652	13258
554	1654	13249
555	1656	13242
556	1659	13236
557	1662	13231
558	1664	13223
559	1666	13213
560	1669	13207
561	1671	13200
562	1674	13193
563	1676	13188
564	1679	13180
565	1681	13172
566	1683	13164
567	1686	13157
568	1688	13151
569	1691	13144
570	1693	13138
571	1696	13134
572	1699	13129
573	1702	13129
574	1706	13131
575	1709	13131
576	1712	13128
577	1716	13131
578	1719	13131
579	1723	13132
580	1726	13129
581	1729	13130
582	1733	13129
583	1737	13138
584	1741	13145
585	1744	13143
586	1748	13145
587	1751	13143
588	1755	13150
589	1758	13147
590	1762	13146
591	1765	13142
592	1769	13147
593	1771	13142
594	1774	13139
595	1777	13134
596	1780	13133
597	1783	13128
598	1786	13124
599	1789	13121
600	1791	13116
601	1795	13116
602	1798	13115
603	1801	13113
604	1804	13110
605	1808	13111
606	1811	13111
607	1814	13110
608	1817	13107
609	1820	13105
610	1824	13102
611	1827	13099
612	1829	13096
613	1832	13093
614	1835	13089
615	1838	13084
616	1841	13084
617	1844	13079
618	1847	13077
619	1850	13073
620	1853	13068
621	1855	13063
622	1859	13063
623	1862	13059
624	1864	13054
625	1867	13049
626	1870	13044
627	1873	13042
628	1876	13037
629	1879	13035
630	1881	13029
631	1884	13026
632	1887	13024
633	1890	13019
634	1893	13015
635	1895	13008
636	1898	13003
637	1901	12999
638	1904	12995
639	1906	12991
640	1909	12986
641	1913	12986
642	1915	12980
643	1918	12977
644	1921	12971
645	1923	12965
646	1926	12959
647	1928	12954
648	1931	12950
649	1934	12945
650	1937	12944
651	1940	12939
652	1943	12935
653	1946	12932
654	1949	12930
655	1952	12928
656	1954	12922
657	1957	12916
658	1960	12911
659	1962	12905
660	1965	12902
661	1968	12897
662	1972	12899
663	1974	12896
664	1978	12896
665	1981	12893
666	1985	12895
667	1987	12891
668	1991	12891
669	1994	12886
670	1996	12883
671	1999	12879
672	2003	12879
673	2005	12875
674	2008	12871
675	2011	12867
