iter	RMSE
0	35.63342391
1	35.18500379
2	34.69949922
3	34.29006497
4	33.83228825
5	33.40439453
6	32.98794316
7	32.61731935
8	32.26166348
9	31.9105111
10	31.54875134
11	31.21116359
12	30.87437943
13	30.54145521
14	30.23345361
15	29.92336075
16	29.63446124
17	29.34677553
18	29.07368023
19	28.82140894
20	28.60087781
21	28.35470273
22	28.14536076
23	27.92435767
24	27.71798093
25	27.51574602
26	27.3140344
27	27.12057113
28	26.93413019
29	26.75947242
30	26.58432698
31	26.43284564
32	26.27933131
33	26.12847822
34	25.98282792
35	25.83162615
36	25.69777226
37	25.57093447
38	25.42024081
39	25.29143961
40	25.1732522
41	25.06912851
42	24.96381297
43	24.85461641
44	24.75128986
45	24.64441237
46	24.54649988
47	24.45239161
48	24.365501
49	24.288444
50	24.195067
51	24.10007951
52	24.01643846
53	23.94967313
54	23.8830422
55	23.82853398
56	23.74876929
57	23.66936057
58	23.58272833
59	23.52212169
60	23.46057093
61	23.39065883
62	23.33051142
63	23.27498846
64	23.2228842
65	23.18092408
66	23.12480634
67	23.07096882
68	23.01597029
69	22.94647627
70	22.90022773
71	22.86113179
72	22.82463119
73	22.78319631
74	22.74098201
75	22.67724713
76	22.62608643
77	22.5768408
78	22.53695597
79	22.49603192
80	22.45322307
81	22.41427566
82	22.36856727
83	22.32918369
84	22.28736529
85	22.2516436
86	22.21073359
87	22.1704373
88	22.14239562
89	22.10621116
90	22.07767239
91	22.05194919
92	22.02606151
93	21.9955845
94	21.94123598
95	21.9194546
96	21.89037721
97	21.85469274
98	21.82492776
99	21.79788407
100	21.76092676
101	21.72812123
102	21.69146449
103	21.67464076
104	21.64600939
105	21.61033142
106	21.58255024
107	21.55301049
108	21.52688967
109	21.50856946
110	21.48623611
111	21.44734095
112	21.42185918
113	21.38510286
114	21.35813768
115	21.33335986
116	21.30883344
117	21.27096638
118	21.2542227
119	21.22117969
120	21.19619322
121	21.1716962
122	21.14176572
123	21.10367485
124	21.07180107
125	21.04688678
126	21.02503593
127	21.00760733
128	20.99723992
129	20.97264153
130	20.94425528
131	20.92378194
132	20.90178788
133	20.87260533
134	20.85161017
135	20.82860565
136	20.79789115
137	20.78437982
138	20.75927227
139	20.74850723
140	20.73220482
141	20.70463156
142	20.68796573
143	20.6743088
144	20.65689486
145	20.63673255
146	20.62171726
147	20.60314621
148	20.5924088
149	20.57310166
150	20.54822912
151	20.53350696
152	20.5136083
153	20.49743331
154	20.47216998
155	20.46026425
156	20.44293041
157	20.42247523
158	20.39284088
159	20.37261045
160	20.36254636
161	20.35044765
162	20.33116759
163	20.31746816
164	20.29969004
165	20.29400338
166	20.28122113
167	20.26165994
168	20.25096381
169	20.24120803
170	20.23066617
171	20.22365289
172	20.21334175
173	20.19745119
174	20.18550301
175	20.17869124
176	20.16732533
177	20.15199639
178	20.14062407
179	20.12415633
180	20.1144475
181	20.10455992
182	20.08617829
183	20.06562452
184	20.05693811
185	20.04014345
186	20.01826127
187	20.01180836
188	19.99546926
189	19.98841147
190	19.97691683
191	19.95856628
192	19.94826244
193	19.94043017
194	19.91870961
195	19.90488875
196	19.89340255
197	19.87666152
198	19.86172949
199	19.85193439
200	19.83174527
201	19.8226892
202	19.80953542
203	19.80067586
204	19.79010061
205	19.76943741
206	19.75366231
207	19.75234124
208	19.74083213
209	19.72646553
210	19.70013175
211	19.68541624
212	19.67190338
213	19.66353473
214	19.65520007
215	19.6486839
216	19.62728339
217	19.61057932
218	19.59886423
219	19.5859757
220	19.57221253
221	19.55175427
222	19.53607536
223	19.52962504
224	19.51665574
225	19.50379423
226	19.49028149
227	19.47721035
228	19.45957554
229	19.44936188
230	19.43344905
231	19.42458743
232	19.40489872
233	19.39997621
234	19.38632544
235	19.37455725
236	19.3541466
237	19.34317715
238	19.3322775
239	19.32267923
240	19.30741927
241	19.29877199
242	19.27487316
243	19.26565995
244	19.25124521
245	19.23166654
246	19.20739797
247	19.19992337
248	19.18611917
249	19.17267532
250	19.1639926
251	19.15179768
252	19.14065775
253	19.12920705
254	19.12429349
255	19.11241553
256	19.10252092
257	19.08499902
258	19.07349671
259	19.05877064
260	19.03819955
261	19.02875073
262	19.0207102
263	19.01262827
264	19.00093162
265	18.99053596
266	18.98600471
267	18.97331852
268	18.96160765
269	18.95139056
270	18.94047716
271	18.92972699
272	18.92660293
273	18.91547339
274	18.90925934
275	18.89888322
276	18.89240072
277	18.87565162
278	18.86366108
279	18.85803702
280	18.84741474
281	18.83428203
282	18.81990855
283	18.80515204
284	18.79357939
285	18.78454633
286	18.76972515
287	18.75893989
288	18.74838013
289	18.73142996
290	18.71969824
291	18.70955571
292	18.69639616
293	18.69212844
294	18.68301018
295	18.66482503
296	18.6518526
297	18.63571666
298	18.61929124
299	18.60947236
300	18.59731846
301	18.58018354
302	18.5777495
303	18.56696923
304	18.55572319
305	18.54701945
306	18.54273476
307	18.52724011
308	18.51676358
309	18.51110878
310	18.50010007
311	18.48958111
312	18.47846013
313	18.46561615
314	18.4558195
315	18.45319694
316	18.45166751
317	18.43833797
318	18.43684542
319	18.42774256
320	18.41259235
321	18.39733386
322	18.38999998
323	18.38861501
324	18.38048533
325	18.37420587
326	18.35597579
327	18.33752886
328	18.32827426
329	18.31594586
330	18.30326913
331	18.2934612
332	18.29044399
333	18.27825977
334	18.27188748
335	18.25998636
336	18.25589491
337	18.25053433
338	18.2381677
339	18.22067848
340	18.20386601
341	18.19526672
342	18.18593995
343	18.16747639
344	18.15724778
345	18.13998438
346	18.1297041
347	18.11397375
348	18.10211805
349	18.08954139
350	18.0749255
351	18.06002254
352	18.04735029
353	18.03724269
354	18.02341944
355	18.02144979
356	18.01090046
357	18.00154722
358	17.9937385
359	17.98174077
360	17.97250587
361	17.96041375
362	17.95006172
363	17.93054769
364	17.91699644
365	17.90472979
366	17.89780876
367	17.88994609
368	17.87487558
369	17.85583604
370	17.85510433
371	17.85263446
372	17.84504805
373	17.83478511
374	17.82110489
375	17.80816689
376	17.80099742
377	17.78952762
378	17.77960116
379	17.77172194
380	17.75892677
381	17.75698945
382	17.74402971
383	17.73274918
384	17.71926506
385	17.7038393
386	17.70225953
387	17.68967705
388	17.67947679
389	17.66853522
390	17.65296925
391	17.64412913
392	17.64235697
393	17.63284975
394	17.62318495
395	17.60679226
396	17.58947949
397	17.57300754
398	17.55898231
399	17.55719434
400	17.5466127
401	17.53338998
402	17.52397769
403	17.50628209
404	17.49218922
405	17.4810563
406	17.46703755
407	17.45610547
408	17.43995227
409	17.42467767
410	17.41408105
411	17.40140995
412	17.39124313
413	17.38233382
414	17.38165231
415	17.3711127
416	17.35265621
417	17.33855322
418	17.33348609
419	17.32164543
420	17.31622948
421	17.31555805
422	17.30061239
423	17.28115922
424	17.26593235
425	17.25453889
426	17.2429119
427	17.24114209
428	17.22496874
429	17.21240637
430	17.19727556
431	17.18514562
432	17.17465618
433	17.16689235
434	17.16106123
435	17.15639025
436	17.14960403
437	17.14325249
438	17.13454743
439	17.12492082
440	17.12426975
441	17.11183021
442	17.10116949
443	17.08938561
444	17.07711278
445	17.0665605
446	17.05366319
447	17.0394415
448	17.02955491
449	17.01881381
450	17.00495445
451	16.99155192
452	16.98053373
453	16.96497218
454	16.95471254
455	16.95321158
456	16.93514643
457	16.92444072
458	16.92305503
459	16.91307193
460	16.90497858
461	16.89764671
462	16.88499944
463	16.88304031
464	16.86986244
465	16.8586284
466	16.84560744
467	16.83180666
468	16.81999939
469	16.80399162
470	16.7944322
471	16.78618019
472	16.78047928
473	16.76807836
474	16.7523446
475	16.74077999
476	16.72897043
477	16.72179481
478	16.71231806
479	16.69818903
480	16.69220937
481	16.67856398
482	16.6637299
483	16.65993861
484	16.64494056
485	16.63523648
486	16.62395013
487	16.61509534
488	16.60815997
489	16.60216419
490	16.60136188
491	16.59149248
492	16.57462294
493	16.56394018
494	16.55092901
495	16.54299398
496	16.53190067
497	16.5211147
498	16.50956782
499	16.49909901
500	16.48636419
501	16.47866141
502	16.47747987
503	16.47686511
504	16.47072696
505	16.45900604
506	16.45045269
507	16.44984987
508	16.44415967
509	16.44310151
510	16.42917272
511	16.41561603
512	16.40174382
513	16.39334141
514	16.37930789
515	16.36995711
516	16.35957747
517	16.34489228
518	16.34073516
519	16.32740436
520	16.31650694
521	16.30735412
522	16.29294866
523	16.28202555
524	16.27083236
525	16.25612046
526	16.24378164
527	16.2354441
528	16.22486881
529	16.21642109
530	16.20755762
531	16.19619473
532	16.18705962
533	16.17505669
534	16.1647213
535	16.15624874
536	16.14732209
537	16.13659835
538	16.12088315
539	16.11322196
540	16.10299502
541	16.09530783
542	16.08641635
543	16.07932951
544	16.06956667
545	16.06033016
546	16.05091778
547	16.04381015
548	16.03287957
549	16.02184989
550	16.01273722
551	16.00525527
552	16.00054355
553	15.99971417
554	15.99087778
555	15.98107452
556	15.96916688
557	15.96031447
558	15.95276605
559	15.9518272
560	15.93800888
561	15.9311297
562	15.91779234
563	15.9113963
564	15.90411103
565	15.88952345
566	15.87956009
567	15.87021979
568	15.85657971
569	15.8534427
570	15.84360068
571	15.83455816
572	15.82422546
573	15.81776285
574	15.80546544
575	15.79462706
576	15.78786241
577	15.7837154
578	15.78323759
579	15.77043074
580	15.76570234
581	15.75900589
582	15.75196714
583	15.74178267
584	15.7341866
585	15.72603665
586	15.72409842
587	15.71356829
588	15.70309707
589	15.69685108
590	15.69520244
591	15.68336128
592	15.67289231
593	15.66551533
594	15.65833358
595	15.6508781
596	15.64156807
597	15.63299967
598	15.62326691
599	15.60939693
600	15.60886549
601	15.5969018
602	15.58855691
603	15.58071367
604	15.57675443
605	15.56633214
606	15.55994155
607	15.55328423
608	15.54825339
609	15.54029436
610	15.53301126
611	15.52651733
612	15.5221271
613	15.51627904
614	15.51576985
615	15.51485858
616	15.50393479
617	15.50034015
618	15.48941869
619	15.47845845
620	15.47661573
621	15.47048476
622	15.45933019
623	15.45209044
624	15.44523748
625	15.44415563
626	15.43886001
627	15.42960651
628	15.42239223
629	15.41495779
630	15.41407617
631	15.40590408
632	15.39310102
633	15.38558271
634	15.37656685
635	15.37587098
636	15.36764389
637	15.36080336
638	15.36030279
639	15.35272162
640	15.35223818
641	15.35152353
642	15.34387716
643	15.33166245
644	15.32346623
645	15.31453526
646	15.31403596
647	15.3080217
648	15.29965811
649	15.29918963
650	15.28551716
651	15.27783155
652	15.27369904
653	15.2655677
654	15.2576034
655	15.24798986
656	15.24242379
657	15.23781469
658	15.22788991
659	15.22171976
660	15.22068384
661	15.21393268
662	15.21118685
663	15.21073627
664	15.20232549
665	15.19337545
666	15.19053673
667	15.18336881
668	15.17232679
669	15.16207003
670	15.15169871
671	15.14111047
672	15.13421392
673	15.12932747
674	15.1239507
675	15.11348236
676	15.10237308
677	15.09272334
678	15.08194036
679	15.07537735
680	15.0675058
681	15.05648994
682	15.04952968
683	15.04472562
684	15.03195076
685	15.02787708
686	15.02090787
687	15.01121144
688	15.00134158
689	14.99387173
690	14.98115981
691	14.98016423
692	14.96891097
693	14.9619232
694	14.95369504
695	14.94551607
696	14.93972212
697	14.93898254
698	14.93181838
699	14.92311159
700	14.91393616
701	14.90778978
702	14.89645148
703	14.88941458
704	14.88247587
705	14.873572
706	14.8634196
707	14.85251974
708	14.84854361
709	14.83938362
710	14.83165349
711	14.82370224
712	14.81771904
713	14.81008627
714	14.80090294
715	14.79889653
716	14.79110235
717	14.7846756
718	14.77891504
719	14.77690128
720	14.7645799
721	14.76167167
722	14.76076096
723	14.75674889
724	14.75591024
725	14.74715585
726	14.73880297
727	14.73114973
728	14.72251068
729	14.71953842
730	14.71260401
731	14.71216859
732	14.70490833
733	14.69512858
734	14.6879776
735	14.68184221
736	14.67751981
737	14.67027193
738	14.6648959
739	14.65281248
740	14.64739059
741	14.64182586
742	14.64108863
743	14.63457492
744	14.62499225
745	14.62431159
746	14.61602024
747	14.61492195
748	14.60268629
749	14.59772471
750	14.59698055
751	14.59179452
752	14.58608433
753	14.57865029
754	14.57099574
755	14.57031965
756	14.56965419
757	14.56616367
758	14.55375278
759	14.54526892
760	14.53875887
761	14.53807806
762	14.52696052
763	14.52200148
764	14.51133176
765	14.51028197
766	14.5099192
767	14.50248612
768	14.4939537
769	14.48752327
770	14.47962158
771	14.47490026
772	14.46478408
773	14.45971228
774	14.45579079
775	14.44849579
776	14.43904986
777	14.4381973
778	14.42733561
779	14.42672184
780	14.41761221
781	14.40604872
782	14.39948653
783	14.39527321
784	14.38711167
785	14.37727775
786	14.37185778
787	14.36592913
788	14.35696871
789	14.35049935
790	14.34830716
791	14.34136462
792	14.33422855
793	14.32722204
794	14.32309386
795	14.31523362
796	14.3093258
797	14.30128328
798	14.29524832
799	14.28802733
800	14.27934696
801	14.26894122
802	14.26633041
803	14.26316763
